3,Zobacz,50.66708,17.92293,Przystanek autobusowy przy pl. Wolności,"„Architektoniczna perełka! Niewielu wie, że w XIX wieku stała nieopodal fontanna końska, będąca poidłem dla zwierząt”, Bartek. „Nocą wygląda jak kosmiczny statek, spod którego taryfa zawiezie Cię do domu po melanżu”, Grzesiek.",SR NP 
12,Zobacz,50.66856,17.92372,Kamienica czynszowa,"„Skansen mieszczańskiego Opola zarządzany przez Muzeum Wsi Opolskiej - pięć mieszkań, każde urządzone w innym stylu z lat 1890-1960. Kontakt z „żywą” historią dla całej rodziny”, Marcin i Sylwia.",SR NP 
26,Odwiedź,50.67420,17.93153,Kino Meduza,"„Miejsce tworzone przez ludzi z pasją dla ludzi z pasją. Filmy światowej klasy do zobaczenia za grosze”, Tobi. „Sporo wydarzeń związanych z kinem i nie tylko. A poranki filmowe to frajda dla dużych i małych!”, Julita. tel. 725 066 504",SR NP 
41,Posmakuj,50.665464,17.924735,Delikatesy,"„Innowacyjny kompleks gastronomiczny…bez kompleksów. Jedno miejsce - sześć lokali czynnych od rana do nocy, w których każdy znajdzie dla siebie jakiś delikates”, Iza. Otwarte: pn.-nd. 6:00 – do nocy, ",SR NP 
49,Posmakuj,50.67195,17.92762,Quchnia,"„Wejdź głodny - wyjdź szczęśliwy. W przerwie pomiędzy zajęciami, w trakcie zabieganego dnia, jest jak oaza na pustyni - przywraca do życia. Smacznie, niedrogo i do syta.”, Sławek. Otwarte: pn.-sb. 8:00 – 20:00, nd. 11:00 – 20:00, tel. 77 441 30 00",SR NP 
87,Doceń,50.667446,17.923948,Wędliny Sklep,"„Kafelkiem zwany, ratuje podczas nocnych wojaży strawą i trunkiem. Za ladą barwna osobowość, którą pamięta się dłużej niż imprezę.”, Łukasz. tel. 77 454 44 21",SR NP 
86,Doceń,50.664676,17.924350,Rowerownia,"„Społeczny warsztat rowerowy. Dzięki zgromadzonym narzędziom i akcesoriom można „pogrzebać” przy jednośladzie i poobcować z opolskim środowiskiem cyklistów”, Piotr. Otwarte: pn. i czw. 18:30 – 20:30, tel. 669 657 275",SR NP 
85,Doceń,50.665480,17.931374,Rodzynek,"„Bakaliowy zawrót głowy, podjadam już podczas kupowania. W niewielkim wnętrzu bogactwo produktów dla zdrowia + pogawędka z właścicielem w gratisie. No jedyny taki…rodzynek!”, Ewa. Otwarte: pn.-pt.9:00 – 17:00, sb. 9:00 – 14:00, tel. 880 649 772",SR NP 
84,Doceń,50.668287,17.923138,Ramiarnia,"„Ubrać sztukę w ramy to nie łatwa sztuka. W niepowtarzalny sposób łączą tu profesjonalne rzemiosło z galerią obrazów i pracownią artystyczną”, Monika. Otwarte: pn.-pt. 10:00 – 18:00, sb. 10:00 – 14:00, tel. 731 131 213",SR NP 
83,Doceń,50.667296,17.926953,Pracownia Fryzjerska Ale Włosy,"„Poprzez fryzjerstwo realizują marzenia swoje i innych. Dzielą się swoimi umiejętnościami z potrzebującymi, a ich działania zasługują na podziw. Bez żadnego „ale”!”, Karo. Otwarte: pn.-pt. 10:00 – 18:00, sb. 10:00 – 14:00, tel. 77 454 75 20",SR NP 
82,Doceń,50.680265,17.947194,Piwo Craftowe- RETRO,"„Półki uginają się od piw niszowych i regionalnych, dla domowych piwowarów depozyt, a Gospodarz służy fachową radą. Istna piwoteka -zapiszcie mnie!”, Rysiek. Otwarte: pn.-pt. 13:00 – 21:00, sb.10:00 – 21:00, tel. 788 049 778",SR NP 
81,Doceń,50.665846,17.924758,N&apos;602,"„Przestrzeń interakcji sztuki, kultury i ludzi prowadzona przez zaangażowaną artystkę. Liczę, że  jej projekt „Natura w mieście/całorocznawymianaroślin” zapuści korzenie.”, Aga. tel. 792 805 079 ",SR NP 
80,Doceń,50.66643,7.931450,Mandala,"„Z buntu wobec sieciówek powstał butik, w którym stawia się na indywidualny styl i kreatywność. Niezwykłe wnętrze, organiczna żywność, unikatowe ubrania. Wyraź się Mandalą!”, Maja. Otwarte: pn.-pt. 10:00 – 18:30, sb. 10:00 – 15:00, tel. 604 500 724",SR NP 
79,Doceń,50.669482,17.921840,Księgarnia Niebieski Kredens,"„Kameralne miejsce na buszowanie wśród książek w rytmie slow. „Planszówki” do wypożyczenia, oryginalne kartki, kredens pełen promocji i przemiła obsługa. Tu chce się być!”, Marta. Otwarte: pn.-sb. 10:00 – 18:00, tel. 77 467 71 53",SR NP 
78,Doceń,50.668702,17.926899,Księgarnia Mała,"„Zanikający gatunek, gdzie sprzedawca to księgarz z bibliofilskim zacięciem. Tysiące tytułów, antykwariackie „perełki” (także winyle) i regionalne publikacje…Nie daj się, Mała!”, Krzysztof.  Otwarte: pn.-pt. 10:00 – 18:00, sb. 10:00 – 14:00, tel. 77 454 77 22",SR NP 
77,Doceń,50.666238,17.928123,Instytut Ćwiczeń Psychofizycznych Zen,"„Energetyczny wdech i wydech. Specjaliści z pasją pomagają w osiągnięciu wewnętrznej równowagi. Zajęcia angażują ciało i umysł w poszukiwaniu własnego zen”, Wanda. Otwarte: pn.-pt. 16:00 – 20:00, tel. 696 422 792",SR NP 
76,Doceń,50.664574,17.924532,Graciarnia/KrakOFFska36,"„Komis tworzony przez ludzi dla ludzi. Kupując za grosze, dajesz rzeczom drugie życie i wspierasz inicjatywę użyteczną społecznie. To ma sens!” Marcin. Otwarte: pn.-pt. 11:00 – 16:00, sb. 11:00 – 14:00, tel. 536 404 835",SR NP 
72,Zrelaksuj się vs. Rozerwij się,50.662343,17.926967,Pub Opole Główne,"„Lokalizacja, koncept i postindustrialny wystrój warte są uwagi. A ekipa za barem nastraja pozytywnie nie tylko przed podróżą”, Dani. Otwarte: pn.-czw. 10:00 – 00:00, pt.-sb. 10:00 – 1:00, Nd. 11:00 – 00:00, tel. 77 546 10 43",SR NP 
68,Zrelaksuj się vs. Rozerwij się,50.668036,17.923272,Pod Arkadami,"„Trzymają formę od lat. Wyśmienita kawa i ciacho w ogródku albo piwo craftowe wieczorem plus doskonała obsługa - to zawsze przyjemność”, Arkadiusz. Otwarte: pn.-czw. 9:30 – 00:00, pt. 9:30 – 2:00, nd. 10:00 – 23:30, tel. 77 454 85 52",SR NP 
67,Zrelaksuj się vs. Rozerwij się,50.667594,17.923806,Lodziarnia Sopelek,"„Wypad na „słodkie” do Sopelka to już rodzinna tradycja. Nawet, gdy eksperymentują ze smakami, serwują najlepsze lody w mieście”, Robert. Otwarte: pn.-nd. 9:00 – 20:00, tel. 734 134 603",SR NP 
66,Zrelaksuj się vs. Rozerwij się,50.668119,17.922588,Kawiarnia Środowisko Naturalne,"„Przyjemna atmosfera wzmocniona zapachem świeżo upieczonego ciasta i miłym uśmiechem właściciela. To może być moje środowisko naturalne!”, Marta. Otwarte: pn.-pt. 9:00 – 19:00, sb. 12:00 – 21:00, nd. 12:00 – 19:00, tel. 889 733 083",SR NP 
64,Zrelaksuj się vs. Rozerwij się,50.668826,17.921714,Kawiarnia Dolce far niente,"„Chowam się tu przed światem na słodką chwilę zapomnienia, która na długo (i smacznie) zapada w pamięć.”, Asia. Otwarte: pn.-pt. 7:00 – 21:00, sb. 8:00 – 21:00, nd. 10:00 – 20:00, tel. 790 581 457",SR NP 
62,Zrelaksuj się vs. Rozerwij się,50.66998,17.93500,Herbaciarnia Masala Tea House ,"„Miękkie poduchy, kojąca muzyka, zapach sziszy i cudowne herbaty. Rozkosz dla wszystkich zmysłów”, Matylda. Otwarte: pn.-czw. 12:00 – 22:00, pt.-sb. 12:00 – 23:00, nd. 15:00 – 22:00. tel. 518 500 118",SR NP 
58,Posmakuj,50.668587,17.921061,Wegeneracja,"„Bez mięsa, bez glutenu, bez nabiału, a naprawdę smakowicie... I pięknie podane. Co dzień inny jadłospis nie grozi kulinarną nudą. Dla mnie wegeREWELACJA!”, Kajetan. Otwarte: pn.-czw.9:00 – 20:00, pt. 9:00 – 00:00, sb. 11:00 – 00:00, nd. 12:00 – 18:00, tel. 691 704 499",SR NP 
57,Posmakuj,50.669841,17.928320,VegeQchnia,"„O kuchnia, ale pycha! Różnorodne dania wyczarowane z warzyw zaspokoją gusta nawet zdeklarowanych mięsożerców. Darmowa woda do posiłku to dodatkowy atut”, Roma. Otwarte: pn.- sb. 10:00 – 20:00, nd. 10:00 – 18:00, tel. 77 557 10 30",SR NP 
