1,Sehenwertes,50.66221,17.92655,Der Bahnhof,"Das Bauwerk wurde um die Wende des 19. und 20. Jh. mit einer schönen Vorhalle errichtet. Charakteristisch ist das Netz der Bahnsteige, die nicht in einer geraden Linie platziert worden sind, sondern die in einer Bogenform verlaufen. Typisch ist auch der „Der Telefon-Effekt“. Die Akustik des Gebäudes wurde so ausgelegt, dass man ein Gespräch, das am einen Ende der Vorhalle geführt wird, ohne weiteres am anderen Ende mitverfolgen kann. In dem neulich renovierten Wartesaal kann man elegante Kronleuchter, Marmorfußböden und die restaurierten Wandgemälde bewundern. ",SR,0,
2,Sehenwertes,50.66549,17.9277,Der Ignacy Daszyński Platz,"Bis zum Jahr 1945 trug der Platz den Namen Friedrichsplatz. Ein wunderbarer Platz mit durchdachter Architektur, schönen Blumenbeeten und Laternen. Im zentralen Punkt befindet sich eine Abends beleuchtete Fontäne aus dem Jahr 1907. Die symbolischen Statuen werden von der Göttin der guten Ernte – Ceres, die auf einem Sockel in einer Muschel steht - überragt.",SR NP,0,
3,Sehenwertes,50.66708,17.92293,Die Bushaltestelle am Freiheitsplatz ,"An der Stelle, die vor dem II. Weltkrieg als Haltestelle für Kutschen gedient hat, befindet sich eine Stahlbetonüberdachung einer ehemaligen Bushaltestelle. Sie wurde um die 60er und 70er Jahre von dem bekannten oppelner Architekt Florian Jesionowski erbaut. Gegenwärtig dient das Skulptur-Bauwerk als ein Taxistand.  Die interessante monolithische Form, die Abends durch eine kalt-weiße Beleuchtung hervorgehoben wird, erinnert viele Besucher an das Raumschiff Enterprise aus der Serie Star Trek. ",NP,0,
4,Sehenwertes,50.66597,17.92233,Die Pfennigbrücke,"An der Stelle, die vor dem II. Weltkrieg als Haltestelle für Kutschen gedient hat, befindet sich eine Stahlbetonüberdachung einer ehemaligen Bushaltestelle. Sie wurde um die 60er und 70er Jahre voDie Brücke wurde ca. 1906 erbaut. Aufgrund ihrer Farbe wird sie auch die „Grüne Brücke“ genannt. Sie befindet sich im westlichen Teil des Freiheitsplatzes. Um sie zu überqueren musste man früher eine Gebühr entrichten – den sprichwörtlichen Pfennig. Aus diesem Grund hat die Brücke auch ihren offiziellen Namen erhalten. Die Gebühr hat ein Kassierer erhoben, dem man unter einer stattlichen Hainbuche ein Holzhäuschen erbaut hat, das damals „das Schweizerische Häuschen“ genannt wurde. Heute befindet sich dort das berühmte Pfannkuchenhhaus „Grabówka“. ",NP,0,https://www.facebook.com/pages/Most-Groszowy/435633756491854?fref=ts
5,Sehenwertes,50.66653,17.9193,Schlossteich,"Die ideale Umgebung für ruhige Spaziergänge. Im historischen Eishaus, das einst der Sitz der Schlittschuh-Gesellschaft war, kann man heute ein schmackhaftes Mittagessen genießen. Zusätzlich erfreut die Fontäne in der Nacht die Sinne mit einen Freudenspiel aus Licht, Klang und Wasser. (12:00, 18:30, 21:30).",SR NP,4.4,https://www.facebook.com/pages/Stawek-Barlickiego/569327193101221
6,Sehenwertes,50.66723,17.9197, Piastenturm,"Der Turm, welcher das Oppelner Amphitheater überragt, ist der letzte Teil des ehemaligen Piastenschlosses und gleichzeitig eins der ältesten Denkmäler der mittelalterlichen Schutzarchitektur in Polen. Nach dem Erklimmen der 163 Stufen erstreckt sich vor dem Besucher ein atemberaubendes Panorama der Stadt. Ein Muss für jeden! Mo.-Fr. 10:00-18:00, Sam.-Son. 10:00-15:00",SR,5,https://www.facebook.com/pages/Wie%C5%BCa-Piastowska-w-Opolu/278239232359953
7,Sehenwertes,50.66859,17.9201, Das Oppelner Venedig ,"Die wunderschönen Mietshäuschen, die auf dem Fundament der Verteidigungsmauern am Mühlgraben - der früher die Rolle eines wichtigen Umschlaghafens erfüllt hat - erbaut worden sind, erinnern an die berühmte italienische Stadt - Venedig. Die sich in der Wassertafel wiederspiegelnden historischen Häuser, die Abends mit dezenten Illuminationen beleuchtet werden, stellen eine schöne Sehenswürdigkeit dar, die von vielen auch sehr gerne fotografiert wird. ",NP,5,https://www.facebook.com/pages/Wenecja-Opolska/359905244064532?fref=ts
8,Sehenwertes,50.66965,17.91987,Kathedrale zum Heiligen Kreuz,"Dank seiner gotischen Form erweckt die Kathedrale schon vom Weitem großes Interesse. Umso mehr lohnt es sich sie vom Innen zu bestaunen. Dort kann man zudem ein aus dem 15. Jahrhundert stammendes Taufbecken mit dem Wappen der Stadt Oppeln, das angeblich Wunder vollbringende Gemälde der Oppelner Gottesmutter, den Grabstein des letzten oppelner Piasten Jan Dobry (Johann der Gute) und den Stammbaum der Oppelner Piasten, der um das Jahr 1700 entstanden ist, finden.",,0,http://www.katedra.opole.pl/news.php
9,Sehenwertes,50.66853,17.9207,  Die Szpitalna-Straße ,"Die älteste Straße in Opole. Im Gebäude mit der Nummer 1 – in dem sich gegenwärtig der Sitz des Fernsehsenders TVP Opole befindet - befand sich ursprünglich eine Synagoge, die im Jahr 1841 erbaut wurde. Sie hat die „Reichskristallnacht“ und den II. Weltkrieg  überstanden. Im Mittelalter befanden sich in der Straße hauptsächlich Mühlen, Schlachthöfe, und Bäder. Hier kann man auch das ehemalige St. Alexius-Hospital  finden, das im Jahr 1400 erbaut wurde. Heute hat in diesem Gebäude die Sozialhilfeorganisation „Caritas“ ihren Sitz. ",NP OO,0,
10,Sehenwertes,50.667681,17.922161,  Die Dreifaltigkeitskirche,Die Geschichte der Kirche geht bis auf das XIII Jahrhundert zurück – entdecke sie drinnen! In der Annakapelle kann man die Gräber der Piasten finden. Untergrund-Tour mit einem Reiseführer möglich.,,0,http://www.opole.franciszkanie.pl/
